Company Name,Ticker,Market Cap (mil)
"Aptorum Group Limited","APM","67.51"
"Cellect Biotechnology Ltd.","APOP","2.82"
"Blue Apron Holdings, Inc.","APRN","215.57"
"Alpha Pro Tech, Ltd.","APT","157.49"
"Alaska Power & Telephone Co.","APTL","57.98"
"Aptinyx Inc.","APTX","80.24"
"Aptevo Therapeutics Inc.","APVO","11.31"
"Applied Visual Sciences Inc.","APVS",".11"
"Asia Pacific Wire & Cable Corporation Limited","APWC","12.72"
"Apergy Corporation","APY","263.48"
"Bovie Medical Corporation","APYX","139.41"
"AquaBounty Technologies, Inc.","AQB","38.67"
"Aqua Metals, Inc.","AQMS","22.71"
"Aquestive Therapeutics, Inc.","AQST","39.82"
"Antero Resources Corporation","AR","298.14"
"American Renal Associates Holdings, Inc","ARA","250.12"
"ARAVIVE, INC","ARAV","54.35"
"Accuray Incorporated","ARAY","124.84"
"ARC Document Solutions, Inc.","ARC","23.07"
"Alcobra Ltd.","ARCT","206.63"
"ARC Group Worldwide, Inc.","ARCW","3.99"
"Ardagh Group S.A.","ARD","177.08"
"Aradigm Corporation","ARDMQ",".42"
"Aridis Pharmaceuticals Inc.","ARDS","38.68"
"Ardelyx, Inc.","ARDX","298.74"
"American Resources Corporation","AREC","24.9"
"Approach Resources Inc.","AREXQ","1.03"
"PROMIS NEUROSCI","ARFXF","24.3"
"Archon Corp.","ARHN","85.4"
"Arista Investors Corp.","ARINA",".47"
"Ark Restaurants Corp.","ARKR","29.9"
"American Realty Investors, Inc.","ARL","100.3"
"Arlo Technologies, Inc.","ARLO","120.4"
"AmpliPhi Biosciences Corporation","ARMP","29.21"
"Aerpio Pharmaceuticals, Inc.","ARPO","18.25"
"Amerigo Resources Ltd.","ARREF","18.08"
"Arch Therapeutics, Inc.","ARTH","29.53"
"Artelo Biosciences, Inc.","ARTL","2.3"
"Art's-Way Manufacturing Co., Inc.","ARTW","7.6"
"Arrayit Corp.","ARYC","34.25"
"ASA Gold and Precious Metals Limited","ASA","167.82"
"Ardmore Shipping Corporation","ASC","132.72"
"Asta Funding, Inc.","ASFI","54.12"
"Liberty All-Star Growth Fund","ASG","152.19"
"ASLAN Pharmaceuticals Ltd.","ASLN","30.13"
"Avino Silver","ASM","23.18"
"Ascena Retail Group, Inc.","ASNA","16.38"
"AdvanSource Biomaterials Corp.","ASNB","2.9"
"Trimel Pharmaceuticals Corp.","ASPCF","7.84"
"Aspen Aerogels, Inc.","ASPN","121.74"
"Altisource Portfolio Solutions S.A.","ASPS","124.31"
"Aspen Group Inc.","ASPU","120.01"
"ASSERTIO THERAPEUTICS, INC","ASRT","48.79"
"AmeriServ Financial Inc.","ASRV","52.88"
"Astrotech Corporation","ASTC","7.43"
"Ascent Solar Technologies Inc.","ASTI",".84"
"Asure Software Inc","ASUR","81.85"
"Amtech Systems, Inc.","ASYS","56.28"
"Atlantic Power Corporation","AT","190.41"
"America First Multifamily Investors, L.P.","ATAX","249.42"
"Antibe Therapeutics Inc.","ATBPF","84.51"
"Boxwood Merger Corp.","ATCX","172.8"
"LandStar, Inc.","ATDS","1.35"
"Alphatec Holdings, Inc.","ATEC","145.52"
"A10 Networks, Inc.","ATEN","275.53"
"AltiGen Communications Inc.","ATGN","23.41"
"Prana Biotechnology Ltd","ATHE","5.15"
"Athersys, Inc.","ATHX","233.09"
"ATIF Holdings Limited","ATIF","62.59"
"ATTIS INDUSTRIES INC.","ATIS",".82"
"Atlanticus Holdings Corporation","ATLC","86.01"
"Ames National Corporation","ATLO","189.07"
"Atlas Energy Group, LLC","ATLS",".3"
"Artemis Therapeutics, Inc.","ATMS",".31"
"Actinium Pharmaceuticals, Inc.","ATNM","28.73"
"Atomera Incorporated","ATOM","49.49"
"Atossa Genetics Inc.","ATOS","7.58"
"Astronics Corporation","ATRO","284.15"
"Astronics Corp.","ATROB","279.54"
"Antares Pharma, Inc.","ATRS","289.73"
"ADHERA THERAPEUTICS, INC.","ATRX",".46"
"Atento S.A.","ATTO","89.73"
"Acorn International, Inc.","ATV","20.54"
"Avenue Therapeutics, Inc.","ATXI","107.3"
"Auburn National Bancorporation, Inc.","AUBN","85.98"
"Auryn Resources Inc.","AUG","75.27"
"Golden Minerals Company","AUMN","20"
"Aurcana Corp.","AUNFF","22.59"
"Autolus Therapeutics PLC Sponsored ADR","AUTL","168.61"
"Autobytel Inc.","AUTO","15.77"
"Avidbank Holdings Inc.","AVBH","91.2"
"Avalon GloboCare Corp.","AVCO","80.32"
"Avadel Pharmaceuticals PLC.","AVDL","152.05"
"AVEO Pharmaceuticals, Inc.","AVEO","41.81"
"Avinger, Inc.","AVGR","5.41"
"Avianca Holdings S.A.","AVH","68.56"
"Avid Technology, Inc.","AVID","236.36"
"Avalon Rare Metals Inc.","AVLNF","8.67"
"Aviat Networks, Inc.","AVNW","39.99"
"Anavex Life Sciences Corp.","AVXL","139.62"
"Areti Web Innovations Inc.","AWEB",".1"
"Aware, Inc.","AWRE","51.65"
"COOL HOLDINGS, INC.","AWSM",".77"
"Avalon Holdings Corporation","AWX","4.84"
"Abraxas Petroleum Corporation","AXAS","15.51"
"Axovant Sciences Ltd.","AXGT","53.03"
"Axcella Health Inc.","AXLA","52.01"
"T.J.T. Inc.","AXLE","1.35"
"AXM Pharma Inc.","AXMP",".2"
"AMREP Corporation","AXR","39.92"
"AXT Inc","AXTI","77.16"
"Alexco Resource Corp","AXU","140.32"
"Alderon Iron Ore Corp.","AXXDF","11.62"
"Alexium International Group","AXXIY","25.91"
"General Agriculture Corp.","AYAG","79.6"
"Aytu Bioscience, Inc.","AYTU","40.91"
"AZURRX BIOPHARM","AZRX","15.28"
"CAMROVA RESRCS","BAJFF",".1"
"StoneCastle Financial Corp","BANX","66.31"
"Bioanalytical Systems, Inc.","BASI","36.46"
"Basic Energy Services, Inc.","BASX","2.56"
"Battalion Oil Corporation","BATL","39.53"
"Liberty Media Corporation","BATRA","141.8"
"Liberty Media Corporation","BATRB","22.58"
"Bay Banks of Virginia Inc.","BAYK","76.88"
"CONCRETE PUMPING HOLDINGS, INC.","BBCP","157.88"
"BARINGS BDC, INC.","BBDC","266.74"
"Beasley Broadcast Group, Inc.","BBGI","60.43"
"VanEck Vectors Biotech ETF","BBH","292.14"
"Vical Incorporated","BBI","11.02"
"Famous Dave's of America, Inc.","BBQ","30.23"
"Barrett Business Services, Inc.","BBSI","218.33"
"Build-A-Bear Workshop, Inc.","BBW","27.4"
"BBX Capital Corp.","BBX","131.87"
"BBX Capital Corp.","BBXTB","143.34"
"BCB Bancorp, Inc. (NJ)","BCBP","164.8"
"Baristas Coffee Company Inc.","BCCI","1.72"
"BioCardia, Inc.","BCDA","15.02"
"Bonanza Creek Energy, Inc.","BCEI","195.33"
"Brainstorm Cell Therapeutics Inc.","BCLI","115.68"
"Bay Commercial Bank","BCML","136.44"
"B Communications Ltd.","BCOM","26.47"
"Brightcove Inc.","BCOV","224.39"
"1895 Bancorp of Wisconsin, Inc.","BCOW","37.84"
"Blue Capital Reinsurance Holdings Ltd.","BCRH","55.28"
"BioCryst Pharmaceuticals, Inc.","BCRX","246.71"
"BANCORP 34 INC","BCTF","32.76"
"BRIACELL THERAP","BCTXF","6.03"
"Bancroft Fund Limited","BCV","82"
"Bicycle Therapeutics PLC Sponsored ADR","BCYC","194.66"
"Blue Dolphin Energy Co.","BDCO","7.4"
"Black Diamond Group Ltd.","BDIMF","39.67"
"Flanigan's Enterprises, Inc.","BDL","20.7"
"Blonder Tongue Laboratories, Inc.","BDR","6.65"
"BioDelivery Sciences International, Inc.","BDSI","294.86"
"bebe stores, inc.","BEBE","51.41"
"Better Environment Concepts Inc.","BEEN","24.17"
"Bel Fuse Inc.","BELFA","78.54"
"Bel Fuse Inc.","BELFB","90.69"
"BEO Bancorp","BEOB","29.55"
"Berkshire Bancorp Inc.","BERK","130.46"
"Benev Capital Inc.","BEVFF","145.36"
"Bullfrog Gold Corp.","BFGC","9.59"
"BankFinancial Corporation","BFIN","121.96"
"BioForce Nanosciences Holdings Inc.","BFNHD","12.06"
"Biofrontera AG Sponsored ADR","BFRA","158.77"
"Business First Bancshares, Inc.","BFST","139.75"
"Health Insurance Innovations, Inc.","BFYT","254.34"
"Blue Gem Enterprise Inc.","BGEM",".11"
"Big 5 Sporting Goods Corporation","BGFV","20.93"
"Briggs & Stratton Corporation","BGG","104.5"
"Birks Group Inc.","BGI","5.33"
"BG Medicine Inc.","BGMD",".18"
"BG Staffing Inc","BGSF","66.98"
"Blue Hat Interactive Entertainment Technology","BHAT","24.5"
"Bar Harbor Bankshares, Inc.","BHB","248.46"
"Liberty Silver Corp.","BHLL","1.54"
"BRAEMAR HOTELS & RESORTS INC.","BHR","37.81"
"Biohitech Global, Inc.","BHTG","19.66"
"Blackhawk Bancorp Inc.","BHWB","87.35"
"Biocorrx Inc.","BICX","9.18"
"NF Energy Saving Corporation","BIMI","22.68"
"Bioasis Technologies Inc.","BIOAF","7.07"
"Biocept, Inc.","BIOC","22.24"
"Biolase, Inc.","BIOL","12.38"
"Bioqual Inc.","BIOQ","40.7"
"Bioceres Crop Solutions Corp.","BIOX","166.15"
"Biophan Technologies Inc.","BIPH","1.29"
"Aoxin Tianli Group, Inc.","BIQIF",".11"
"Baltic International USA Inc.","BISA","0"
"Bioxytran, Inc.","BIXT","20.95"
"BJ's Restaurants, Inc.","BJRI","125.7"
"BlackRock Capital Investment Corporation","BKCC","101"
"Blueknight Energy Partners L.P., L.L.C.","BKEP","22.45"
"BKF Capital Group Inc.","BKFG","6.74"
"BlackRock Investment Quality Municipal Trust Inc.","BKN","200.65"
"Oak Ridge Financial Services Inc.","BKOR","29.53"
"Bank of South Carolina Corp.","BKSC","71.62"
"BK TECHNOLOGIES, INC.","BKTI","20.83"
"BIO-key International Inc.","BKYI","10.09"
"Blue Bird Corporation","BLBD","248.54"
"Bellicum Pharmaceuticals, Inc.","BLCM","17.97"
"BioLife Solutions, Inc.","BLFS","202.68"
"BioLargo Inc.","BLGO","23.71"
"Bridgeline Digital, Inc.","BLIN","1.8"
"Global Blockchain Technologies Corp.","BLKCF",".65"
"Biloxi Marsh Lands Corp.","BLMC","7.51"
"Blink Charging Co.","BLNK","34.48"
"Cannabix Technologies Inc.","BLOZF","32.25"
"Bellerophon Therapeutics, Inc.","BLPH","15.63"
"BioLineRx Ltd.","BLRX","8.3"
"Benchmark Bankshares Inc.","BMBN","74.18"
"Bimini Capital Management Inc.","BMNM","7.82"
"Biomerica, Inc.","BMRA","101.87"
"Bright Mountain Media, Inc.","BMTM","84.72"
"BNCCORP Inc.","BNCC","80.3"
"Barnes & Noble Education, Inc","BNED","73.41"
"Bonterra Energy Corp.","BNEFF","17.7"
"Bion Environmental Technologies Inc.","BNET","16.03"
"Benefitfocus, Inc.","BNFT","202.82"
"Bionano Genomics, Inc.","BNGO","10.38"
"Bionik Laboratories Corp.","BNKL","6.24"
"Bionomics Limited","BNOEF","13.03"
"Bonso Electronics International, Inc.","BNSO","12.75"
"Benitec Biopharma Limited","BNTC","4.84"
"Bank of Commerce Holdings (CA)","BOCH","127.46"
"Bollinger Industries Inc.","BOLL","147.92"
"China New Borun Corporation","BORNY","3.09"
"Borr Drilling Limited","BORR","27.54"
"B.O.S. Better Online Solutions","BOSC","6.17"
"Bank of the James Financial Group, Inc.","BOTJ","43.95"
"Boxlight Corporation","BOXL","4"
"BOXSCORE BRANDS, INC.","BOXS",".3"
"Banco Comercial Portugues S.A. Unsponsored ADR","BPCGY","238.52"
"BioPharmX Corporation","BPMX","4.81"
"The Bank of Princeton","BPRN","152.25"
"BP Prudhoe Bay Royalty Trust","BPT","72.55"
"Bio-Path Holdings, Inc.","BPTH","12"
"Baran Group Ltd.","BRANF","8.77"
"Big Rock Brewery Inc.","BRBMF","23.81"
"Craft Brew Alliance, Inc.","BREW","216.7"
"Barfresh Food Group Inc.","BRFH","35.19"
"Bluerock Residential Growth REIT, Inc.","BRG","137.72"
"Bergio International Inc.","BRGO","1.42"
"Bridgford Foods Corporation","BRID","146.28"
"Barnwell Industries, Inc.","BRN","3.19"
"BRP Group, Inc.","BRP","228.01"
"Borqs Technologies, Inc.","BRQS","37.01"
"Blue Ridge Real Estate Co.","BRRE","10.95"
"Brain Resource Ltd.","BRRZY","5.31"
"Banyan Rail Services Inc.","BRST","7.73"
"Bristow Group Inc","BRSWQ",".31"
"BRT Realty Trust","BRT","120.78"
"BlackRidge Technology International, Inc.","BRTI",".49"
"Biorestorative Therapies, Inc.","BRTX",".66"
"Berry Petroleum Corporation","BRY","151.14"
"Bogota Financial Corporation","BSBK","84.6"
"Bank of Santa Clarita","BSCA","32.75"
"Bassett Furniture Industries, Incorporated","BSET","58.2"
"Biosig Technologies, Inc.","BSGM","66.47"
"Ballston Spa Bancorp Inc.","BSPA","43.22"
"BSQUARE Corporation","BSQR","12.23"
"BioSolar Inc.","BSRC",".7"
"Sierra Bancorp","BSRR","199.62"
"Biostage, Inc.","BSTG","20.85"
"Brite-Strike Tactical Illumination Products Inc.","BSTK",".29"
"Bank7 Corp.","BSVN","58.43"
"Biotricity Inc.","BTCY","32.74"
"Baytex Energy Corp","BTE","126.39"
"Boston Therapeutics Inc.","BTHE",".89"
"Ballantyne Strong, Inc","BTN","20.66"
"John Hancock Financial Opportunities Fund","BTO","267.17"
"Flint Telecom Group Inc.","BUDT",".38"
"Butler National Corp.","BUKS","30.8"
"Burnham Holdings Inc.","BURCA","29.39"
"Chanticleer Holdings, Inc.","BURG","7.18"
"Burcon NutraScience Corp","BUROF","43.92"
"BroadVision, Inc.","BVSN","8.1"
"BiondVax Pharmaceuticals Ltd.","BVXV","36.14"
"Babcock","BW","37.54"
"Brainsway Ltd. Sponsored ADR","BWAY","56.62"
"Bridgewater Bancshares, Inc.","BWB","248.67"
"Broadwind Energy, Inc.","BWEN","20.03"
"Bankwell Financial Group, Inc.","BWFG","123.01"
"Bowl America, Inc.","BWL.A","51.6"
"BlueLinx Holdings Inc.","BXC","48.61"
"Bellatrix Exploration Ltd","BXEFF","11.64"
"Bluegreen Vacations Corporation","BXG","254.32"
"Bexil Corp.","BXLC","9.17"
"Baudax Bio, Inc.","BXRX","39.82"
"Broadway Financial Corporation","BYFC","31.77"
"Beyond Commerce Inc.","BYOC","1.35"
"Security Devices International Inc.","BYRN","20.82"
"BeyondSpring Inc.","BYSI","282.49"
"Beazer Homes USA, Inc.","BZH","166.02"
"Corporacion America Airports S.A.","CAAP","296.04"
"China Automotive Systems, Inc.","CAAS","48.67"
"Cabaletta Bio, Inc.","CABA","144.2"
"California Business Bank","CABB","14.04"
"NowAuto Group Inc.","CAFI","1.85"
"The Castle Group, Inc.","CAGU","3.32"
"CAI International, Inc.","CAI","213.87"
"Caleres, Inc.","CAL","138.63"
"Calithera Biosciences, Inc.","CALA","227.69"
"California Bank of Commerce","CALB","81.03"
"CalAmp Corp.","CAMP","161.91"
"Camtek Ltd.","CAMT","236.81"
"Can-Fite Biopharma Ltd","CANF","11.27"
"Cannlabs Inc.","CANL","10.92"
"General Cannabis Corp.","CANN","12.28"
"Capstone Cos.","CAPC","4.7"
"CrossAmerica Partners LP","CAPL","266.2"
"Capricor Therapeutics, Inc.","CAPR","4.76"
"Carter Bank & Trust","CARE","222.04"
"Carver Bancorp, Inc.","CARV","5.07"
"Casa Systems, Inc.","CASA","197.84"
"CASI Pharmaceuticals, Inc.","CASI","156.46"
"Catabasis Pharmaceuticals, Inc.","CATB","34.44"
"Cambridge Bancorp","CATC","278.19"
"Cato Corporation (The)","CATO","264.84"
"Catasys Inc.","CATS","164.59"
"Cavu Resources Inc.","CAVR","11.55"
"CCA Industries, Inc.","CAWW","18.04"
"CBA FLORIDA, INC.","CBAI","9.67"
"Colony Bankcorp, Inc.","CBAN","106.01"
"China BAK Battery, Inc.","CBAT","17.23"
"CymaBay Therapeutics Inc.","CBAY","86.1"
"Commonwealth Business Bank","CBBI","71.66"
"Bluenrgy Group Limited","CBDEF",".3"
"Capital Beverage Corp.","CBEV","8.61"
"CB Financial Services, Inc.","CBFV","106.49"
"China Yibai United Guarantee International Holding Inc.","CBGH","2.75"
"Catalyst Biosciences, Inc.","CBIO","42.27"
"Christopher & Banks Corporation","CBKC","4.99"
"CBL & Associates Properties, Inc.","CBL","49.13"
"Cleveland BioLabs, Inc.","CBLI","22.37"
"CBM Bancorp, Inc.","CBMB","53.2"
"Cellular Biomedicine Group, Inc.","CBMG","237.68"
"Capital Bancorp, Inc.","CBNK","143.96"
"C-Bond Systems, Inc.","CBNT","7.42"
"Cannabis Wheaton Income Corp.","CBWTF","101.99"
"Crescent Capital BDC, Inc.","CCAP","240.91"
"Coastal Financial Corporation","CCB","107.47"
"Chino Commercial Bancorp","CCBC","15.8"
"Capital City Bank Group","CCBG","281.4"
"China Ceramics Co., Ltd.","CCCL","2.21"
"Cryo-Cell International Inc.","CCEL","42.92"
"CSI Compressco LP","CCLP","22.69"
"Concord Medical Services Holdings Limited","CCM","76.75"
"Clear Channel Outdoor Holdings, Inc.","CCO","235.49"
"CCOM Group Inc.","CCOM","8.51"
"CONSOL Coal Resources LP","CCR","138.16"
"China Customer Relations Centers, Inc.","CCRC","76.07"
"Concurrent Computer Corporation","CCUR","31.6"
"CENTENNIAL RES","CDEV","83.56"
"Avid Bioservices, Inc.","CDMO","211.81"
"Condor Hospitality Trust, Inc.","CDOR","36.71"
"Cedar Realty Trust, Inc.","CDR","68.8"
"CDTI ADVANCED MATERIALS, INC.","CDTI",".45"
"Cidara Therapeutics, Inc.","CDTX","70.49"
"ChromaDex Corporation","CDXC","166.21"
"Cardax, Inc.","CDXI","4.3"
"Cardero Resource Corp.","CDYCF",".84"
"CECO Environmental Corp.","CECE","130.91"
"The Central and Eastern Europe Fund, Inc.","CEE","98.06"
"Commercial National Financial Corp.","CEFC","35.69"
"Cerro Grande Mining Corp.","CEGMF","4.41"
"Lucas Energy, Inc.","CEI","3.57"
"Consol Energy Inc.","CEIX","189.23"
"Celcuity, Inc.","CELC","64.6"
"Celsius Holdings Inc.","CELH","273.43"
"Cypress Energy Partners, L.P.","CELP","40.31"
"Chembio Diagnostics, Inc.","CEMI","52.67"
"Crestwood Equity Partners LP","CEQP","232.72"
"Cerecor Inc.","CERC","116.37"
"Cereplast Inc.","CERPQ",".22"
"Cemtrex Inc.","CETX","4.59"
"Eaton Vance California Municipal Income Trust","CEV","72.62"
"Ceres Ventures Inc.","CEVE",".62"
"COMMNTY FST BCS","CFBI","54.34"
"Central Federal Corporation","CFBK","55.4"
"C&F Financial Corporation","CFFI","122.53"
"Citizens Financial Corp.","CFIN","38.36"
"ConforMIS, Inc.","CFMS","40.14"
"California First National Bancorp","CFNB","139.81"
"ContraFect Corporation","CFRX","91.99"
"China Green Agriculture, Inc.","CGA","18.42"
