Company Name,Ticker,Market Cap (mil)
"Clarus Corporation","CLAR","262.78"
"Core Laboratories N.V.","CLB","442.24"
"Collectors Universe, Inc.","CLCT","143.28"
"Chatham Lodging Trust (REIT)","CLDT","220.69"
"Cleveland-Cliffs Inc.","CLF","865.9"
"Clearfield, Inc.","CLFD","123.32"
"Cellectis S.A.","CLLS","337.05"
"CORNERSTONE STR","CLM","512.78"
"COLONY CREDIT REAL ESTATE, INC.","CLNC","361.13"
"Clean Energy Fuels Corp.","CLNE","304.26"
"COLONY CAPITAL, INC.","CLNY","740.8"
"Clipper Realty Inc.","CLPR","102.97"
"Celestica, Inc.","CLS","372.43"
"Clovis Oncology, Inc.","CLVS","325.37"
"Clearwater Paper Corporation","CLW","330.69"
"Calyxt, Inc.","CLXT","108.21"
"Cambium Networks Corporation","CMBM","130.73"
"Cheetah Mobile Inc.","CMCM","306.73"
"Columbus McKinnon Corporation","CMCO","531.35"
"CIM Commercial Trust Corporation","CMCT","137.84"
"Capstead Mortgage Corporation","CMO","296.28"
"Costamare Inc.","CMRE","439.6"
"Comtech Telecommunications Corp.","CMTL","348.29"
"Comtex News Network Inc.","CMTX","788.12"
"MFS High Yield Municipal Trust","CMU","103.1"
"Century Bancorp, Inc.","CNBKA","332.24"
"Concert Pharmaceuticals, Inc.","CNCE","242.43"
"Conduent Inc.","CNDT","417.42"
"CNFinance Holdings Limited Sponsored ADR","CNF","274.33"
"Canacol Energy Ltd.","CNNEF","434.33"
"ConnectOne Bancorp, Inc.","CNOB","427.57"
"NCI Building Systems, Inc.","CNR","376.96"
"Consorcio ARA SAB","CNRFF","308.52"
"Consolidated Communications Holdings, Inc.","CNSL","287.09"
"Centogene N.V.","CNTG","418.07"
"CNX Midstream Partners LP","CNXM","766.35"
"PC Connection, Inc.","CNXN","905.74"
"China Cord Blood Corporation","CO","412.06"
"Compass Diversified Holdings","CODI","749.35"
"Co-Diagnostics, Inc.","CODX","260.37"
"China Online Education Group","COE","509.85"
"ChoiceOne Financial Services, Inc.","COFS","137.72"
"Cohu, Inc.","COHU","433.68"
"Collegium Pharmaceutical, Inc.","COLL","488.59"
"Conn's, Inc.","CONN","120.81"
"MR. COOPER GROUP INC","COOP","564.93"
"CorEnergy Infrastructure Trust, Inc.","CORR","218.3"
"Corvus Gold, Inc.","CORVF","123.73"
"Cowen Group, Inc.","COWN","187.7"
"Cementos Pacasmayo S.A.A.","CPAC","597.83"
"Callon Petroleum Company","CPE","174.54"
"CPB Inc.","CPF","369.69"
"Crescent Point Energy Corporation","CPG","370.47"
"COREPOINT LODGE","CPLG","203.65"
"Capital Product Partners L.P.","CPLP","113.38"
"Catalyst Pharmaceuticals, Inc.","CPRX","305.06"
"Cooper-Standard Holdings Inc.","CPS","159.67"
"Computer Programs and Systems, Inc.","CPSI","253.53"
"Charles River Associates","CRAI","201.01"
"Corbus Pharmaceuticals Holdings, Inc.","CRBP","332.73"
"California Resources Corporation","CRC","148.51"
"Crawford & Company","CRD.A","353.41"
"Crawford & Company","CRD.B","316.74"
"Cresud S.A.C.I.F. y A.","CRESY","141.61"
"Cornerstone Total Return Fund, Inc.","CRF","262.99"
"Comstock Resources, Inc.","CRK","881.62"
"America's Car-Mart, Inc.","CRMT","267.41"
"Cerence Inc.","CRNC","568.45"
"Cairn Energy PLC","CRNCY","438.78"
"Ceragon Networks Ltd.","CRNT","105.9"
"Crinetics Pharmaceuticals, Inc.","CRNX","324.28"
"Crocs, Inc.","CROX","735.25"
"Carpenter Technology Corporation","CRS","710.77"
"Criteo S.A.","CRTO","448.55"
"CorVel Corp.","CRVL","978.03"
"CryoLife, Inc.","CRY","574.88"
"Capstone Mining Corp.","CSFFF","101.97"
"Canadian Solar Inc.","CSIQ","874.32"
"Castlight Health, inc.","CSLT","113.08"
"Casper Sleep Inc.","CSPR","126.16"
"Caesarstone Ltd.","CSTE","306.12"
"Castle Biosciences, Inc.","CSTL","483.1"
"Capstar Financial Holdings Inc.","CSTR","153.56"
"Carriage Services, Inc.","CSV","276.32"
"Capital Southwest Corporation","CSWC","173.43"
"CSW Industrials, Inc.","CSWI","885.32"
"Cooper Tire & Rubber Company","CTB","851.74"
"Community Trust Bancorp, Inc.","CTBI","529.97"
"CooTek (Cayman) Inc. Sponsored ADR","CTK","372.73"
"CytomX Therapeutics, Inc.","CTMX","225.56"
"Consolidated-Tomoka Land Co.","CTO","184.22"
"Citi Trends, Inc.","CTRN","102.75"
"CTS Corporation","CTS","591.58"
"Cytosorbents Corporation","CTSO","140.2"
"CatchMark Timber Trust, Inc.","CTT","293.27"
"CTT Correios de Portugal, S.A. Unsponsored ADR","CTTPY","337.5"
"China Travel Resort Holdings Inc.","CTVZ","164.58"
"Customers Bancorp, Inc","CUBI","356.81"
"Cue Biopharma, Inc.","CUE","324.76"
"CURO Group Holdings Corp.","CURO","172.59"
"Cuisine Solutions Inc.","CUSI","343.75"
"Cutera, Inc.","CUTR","132.48"
"Central Valley Community Bancorp","CVCY","158.38"
"Covetrus, Inc.","CVET","694.82"
"Calavo Growers, Inc.","CVGW","936.54"
"COVIA HOLDINGS","CVIA","102.98"
"Codorus Valley Bancorp, Inc","CVLY","159.42"
"Cel-Sci Corporation","CVM","436.62"
"Covenant Transportation Group, Inc.","CVTI","172.2"
"Consolidated Water Co. Ltd.","CWCO","219.54"
"Crimson Wine Group Ltd.","CWGL","127.84"
"Camping World Holdings Inc.","CWH","376.78"
"MFS High Income Municipal Trust","CXE","129.84"
"CyberOptics Corporation","CYBE","107.18"
"China Yuchai International Limited","CYD","339.12"
"CytoDyn Inc.","CYDY","445.97"
"Community Health Systems, Inc.","CYH","309.96"
"Changyou.com Limited","CYOU","567.65"
"CryoPort, Inc.","CYRX","548.86"
"Cytokinetics, Incorporated","CYTK","567.75"
"Citizens Financial Services Inc.","CZFS","176.29"
"Citizens & Northern Corp","CZNC","238.79"
"Daktronics, Inc.","DAKT","206"
"Dana Incorporated","DAN","852.26"
"Invesco DB Agriculture ETF","DBA","290.99"
"Invesco DB Commodity Index Tracking ETF","DBC","813.94"
"Diebold Nixdorf, Incorporated","DBD","319.27"
"Designer Brands Inc.","DBI","397.48"
"Dacotah Banks, Inc.","DBIN","275.26"
"DBM GLOBAL INC","DBMG","679.63"
"DBV Technologies S.A.","DBVT","408.66"
"Ducommun Incorporated","DCO","222.04"
"Dime Community Bancshares, Inc.","DCOM","423.89"
"DCP Midstream Partners, LP","DCP","887.48"
"3D Systems Corporation","DDD","714.64"
"Delta Galil Industries Ltd.","DELTY","301.54"
"Denny's Corporation","DENN","306.43"
"Despegar.com Corp.","DESP","484.13"
"Donnelley Financial Solutions Inc.","DFIN","182.57"
"Donegal Group, Inc.","DGICA","334.69"
"Donegal Group, Inc.","DGICB","334.98"
"Digi International Inc.","DGII","223.61"
"Delek Group Ltd.","DGRLY","563.2"
"Senior Housing Properties Trust","DHC","594.74"
"BNY Mellon High Yield Strategies Fund","DHF","144.69"
"Diamond Hill Investment Group, Inc.","DHIL","285.07"
"DHT Holdings, Inc.","DHT","811.85"
"DHI Group, Inc.","DHX","137.48"
"Credit Suisse High Yield Bond Fund, Inc.","DHY","166.13"
"DINE BRANDS GLOBAL, INC.","DIN","287.04"
"Daily Journal Corp. (S.C.)","DJCO","302.47"
"Delek Logistics Partners, L.P.","DKL","203.37"
"China Distance Education Holdings Limited","DL","239.9"
"Delphi Technologies PLC","DLPH","713.54"
"Duluth Holdings Inc.","DLTH","140.26"
"Deluxe Corporation","DLX","935.37"
"BNY Mellon Municipal Income, Inc.","DMF","146.47"
"Dorchester Minerals, L.P.","DMLP","331.54"
"Digimarc Corporation","DMRC","144.91"
"Constellation Alpha Capital Corp.","DMTK","150.07"
"Denison Mine Corp","DNN","130.19"
"NOW Inc.","DNOW","631.22"
"Denbury Resources Inc.","DNR","147.1"
"Diamond Offshore Drilling, Inc.","DO","374.55"
"Domo, Inc.","DOMO","231.56"
"DAQO New Energy Corp.","DQ","493.95"
"DRDGOLD Limited","DRD","337.27"
"Diamondrock Hospitality Company","DRH","781.39"
"DURECT Corporation","DRRX","233.02"
"BNY Mellon Strategic Municipal Bond Fund, Inc.","DSM","398.05"
"DSP Group, Inc.","DSPG","256.54"
"Diamond S Shipping Inc.","DSSI","388.35"
"BlackRock Debt Strategies Fund, Inc.","DSU","345.42"
"Diana Shipping inc.","DSX","118.55"
"DTF Tax-Free Income, Inc.","DTF","106.42"
"Precision BioSciences, Inc.","DTIL","272.42"
"DATATEC","DTTLY","445.13"
"Duff & Phelps Utility and Corporate Bond Trust Inc.","DUC","228.48"
"Fangdd Network Group Ltd.","DUO","831.42"
"Dynavax Technologies Corporation","DVAX","246.5"
"WisdomTree International Equity ETF","DWM","510.99"
"Dynex Capital, Inc.","DX","271.68"
"DXP Enterprises, Inc.","DXPE","195.19"
"Dycom Industries, Inc.","DY","504.73"
"Dyadic International Inc.","DYAI","108.85"
"Brinker International, Inc.","EAT","348.26"
"Eventbrite, Inc.","EB","647.58"
"Ennis, Inc.","EBF","411.5"
"Ebix, Inc.","EBIX","411.43"
"Eagle Bancorp Montana, Inc.","EBMT","106.17"
"Meridian Bancorp, Inc.","EBSB","512.41"
"Enterprise Bancorp Inc","EBTC","272.34"
"Eagle Point Credit Company Inc.","ECC","147.79"
"Ellsworth Growth and Income Fund Ltd.","ECF","109.76"
"iShares MSCI Chile ETF","ECH","305.9"
"Echo Global Logistics, Inc.","ECHO","435.11"
"US Ecology, Inc.","ECOL","941.7"
"ChannelAdvisor Corporation","ECOM","155.14"
"Encore Capital Group Inc","ECPG","623.83"
"Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","EDN","145.48"
"Emerald Expositions Events, Inc.","EEX","225.55"
"Ellington Financial LLC","EFC","299.66"
"Enterprise Financial Services Corporation","EFSC","697.28"
"eGain Corporation","EGAN","178"
"Eagle Bancorp, Inc.","EGBN","827.11"
"Eagle Bulk Shipping Inc.","EGLE","143.47"
"Eldorado Gold Corporation","EGO","849.59"
"Eagle Pharmaceuticals, Inc.","EGRX","504.34"
"EHang Holdings Limited Unsponsored ADR","EH","538.87"
"Endurance International Group Holdings, Inc.","EIGI","220.06"
"Eiger BioPharmaceuticals, Inc.","EIGR","137.28"
